Name,Rarity,Attunement,Type,Source,Description,URL,Notes
Potion of Mind Reading,rare,No Attunement,Potion,Dungeon Master's Guide,"When you drink this potion, you gain the effect of the Detect Thoughts spell (save DC 13). The potion's dense, purple liquid has an ovoid cloud of pink floating in it.
",http://dnd5e.wikidot.com/wondrous-items:potion-of-mind-reading,
Professor Orb,rare,No Attunement,Wondrous item,Icewind Dale - Rime of the Frostmaiden,"A professor orb is a smooth 5-pound sphere of smoky gray quartz about the size of a grapefruit. Close examination reveals two or more pinpricks of silver light coming from deep inside the sphere.
The orb is sentient and has the personality of a scholar. Its alignment is determined by rolling on the alignment table in the &quot;Sentient Magic Items&quot; section in the Dungeon Master's Guide. Regardless of its alignment, the orb has an Intelligence of 18, and Wisdom and Charisma scores determined by rolling 3d6 for each ability. The orb speaks, reads, and understands four languages, and it can see and hear normally out to a range of 60 feet. Unlike most other sentient items, the orb has no goals of its own and can't initiate a conflict with the creature in possession of it.
The orb has extensive knowledge of four narrow academic subjects. When making an Intelligence check to recall lore from any of its areas of expertise, the orb has a +9 bonus to its roll (including its Intelligence modifier).
In addition to the knowledge it possesses, the orb can cast the Mage Hand cantrip at will. It uses the spell only to transport itself. Its spellcasting ability is Intelligence.
Professor Skant. The professor orb owned by Vellynne Harpell and stolen by Nass Lantomir calls itself Professor Skant. It is lawful good, and it has a Wisdom of 11 and a Charisma of 9. It speaks and reads Common, Draconic, Elvish, and Loross (the dead language of the Empire of Netheril). Professor Skant is a chatterbox and assumes all humanoids are dunderheads. When elaborating on its areas of expertise, it adopts an unintentionally patronizing tone. It has the following four areas of expertise:
",http://dnd5e.wikidot.com/wondrous-items:professor-orb,
Protective Verses,rare,requires attunement by a wizard,Wondrous item,Tasha's Cauldron of Everything,"This leather-bound spellbook is reinforced with iron and silver fittings and an iron lock (DC 20 to open). As an action, you can touch the book's cover and cause it to lock as if you cast Arcane Lock on it. When found, the book contains the following spells: Arcane Lock, Dispel Magic, Globe of Invulnerability, Glyph of Warding, Mordenkainen's Private Sanctum, Protection from Evil and Good, and Symbol. It functions as a spellbook for you.
While you are holding the book, you can use it as a spellcasting focus for your wizard spells.
The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it:
",http://dnd5e.wikidot.com/wondrous-items:protective-verses,
Quaal's Feather Token,rare,No Attunement,Wondrous item,Dungeon Master's Guide,"This tiny object looks like a feather. Different types of feather tokens exist, each with a different single-use effect. The DM chooses the kind of token or determines it randomly.
Anchor. You can use an action to touch the token to a boat or ship. For the next 24 hours, the vessel can't be moved by any means. Touching the token to the vessel again ends the effect. When the effect ends, the token disappears.
Bird. You can use an action to toss the token 5 feet into the air. The token disappears and an enormous, multicolored bird takes its place. The bird has the statistics of a roc (see the Monster Manual), but it obeys your simple commands and can't attack. It can carry up to 500 pounds while flying at its maximum speed (16 miles an hour for a maximum of 144 miles per day, with a one-hour rest for every 3 hours of flying), or 1,000 pounds at half that speed. The bird disappears after flying its maximum distance for a day or if it drops to 0 hit points. You can dismiss the bird as an action.
Fan. If you are on a boat or ship, you can use an action to toss the token up to 10 feet in the air. The token disappears, and a giant flapping fan takes its place. The fan floats and creates a wind strong enough to fill the sails of one ship, increasing its speed by 5 miles per hour for 8 hours. You can dismiss the fan as an action.
Swan Boat. You can use an action to touch the token to a body of water at least 60 feet in diameter. The token disappears, and a 50-foot-long, 20-foot-wide boat shaped like a swan takes its place. The boat is self-propelled and moves across water at a speed of 6 miles per hour. You can use an action while on the boat to command it to move or to turn up to 90 degrees. The boat can carry up to thirty-two Medium or smaller creatures. A Large creature counts as four Medium creatures, while a Huge creature counts as nine. The boat remains for 24 hours and then disappears. You can dismiss the boat as an action.
Tree. You must be outdoors to use this token. You can use an action to touch it to an unoccupied space on the ground. The token disappears, and in its place a nonmagical oak tree springs into existence. The tree is 60 feet tall and has a 5-foot-diameter trunk, and its branches at the top spread out in a 20-foot radius.
Whip. You can use an action to throw the token to a point within 10 feet of you. The token disappears, and a floating whip takes its place. You can then use a bonus action to make a melee spell attack against a creature within 10 feet of the whip, with an attack bonus of +9. On a hit, the target takes 1d6 + 5 force damage.
As a bonus action on your turn, you can direct the whip to fly up to 20 feet and repeat the attack against a creature within 10 feet of it. The whip disappears after 1 hour, when you use an action to dismiss it, or when you are incapacitated or die.
",http://dnd5e.wikidot.com/wondrous-items:quaals-feather-token,"Needs manual intervention, has a table. "
Reveler's Concertina,rare,requires attunement by a bard,Wondrous item,Tasha's Cauldron of Everything,"While holding this concertina, you gain a +2 bonus to the saving throw DC of your bard spells.
As an action, you can use the concertina to cast Otto's Irresistible Dance from the item. This property of the concertina can't be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:revelers-concertina,
Ring of Animal Influence,rare,No Attunement,Ring,Dungeon Master's Guide,"This ring has 3 charges, and it regains 1d3 expended charges daily at dawn. While wearing the ring, you can use an action to expend 1 of its charges to cast one of the following spells:
",http://dnd5e.wikidot.com/wondrous-items:ring-of-animal-influence,
Ring of Evasion,rare,requires attunement,Ring,Dungeon Master's Guide,"This ring has 3 charges, and it regains 1d3 expended charges daily at dawn. When you fail a Dexterity saving throw while wearing it, you can use your reaction to expend 1 of its charges to succeed on that saving throw instead.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-evasion,
Ring of Feather Falling,rare,requires attunement,Ring,Dungeon Master's Guide,"When you fall while wearing this ring, you descend 60 feet per round and take no damage from falling.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-feather-falling,
Ring of Free Action,rare,requires attunement,Ring,Dungeon Master's Guide,"While you wear this ring, difficult terrain doesn't cost you extra movement. In addition, magic can neither reduce your speed nor cause you to be paralyzed or restrained.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-free-action,
Ring of Protection,rare,requires attunement,Ring,Dungeon Master's Guide,"You gain a +1 bonus to AC and saving throws while wearing this ring.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-protection,
Ring of Resistance,rare,requires attunement,Ring,Dungeon Master's Guide,"You have resistance to one damage type while wearing this ring. The gem in the ring indicates the type, which the DM chooses or determines randomly.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-resistance,"Needs manual intervention, has a table. "
Ring of Spell Storing,rare,requires attunement,Ring,Dungeon Master's Guide,"This ring stores spells cast into it, holding them until the attuned wearer uses them. The ring can store up to 5 levels worth of spells at a time. When found, it contain 1d6 - 1 levels of stored spells chosen by the DM.
Any creature can cast a spell of 1st through 5th level into the ring by touching the ring as the spell is cast. The spell has no effect, other than to be stored in the ring. If the ring can't hold the spell, the spell is expended without effect. The level of the slot used to cast the spell determines how much space it uses.
While wearing this ring, you can cast any spell stored in it. The spell uses the slot level, spell save DC, spell attack bonus, and spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. The spell cast from the ring is no longer stored in it, freeing up space.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-spell-storing,
Ring of Temporal Salvation,rare,requires attunement,Ring,Explorer's Guide to Wildemount,"If you die while wearing this gray crystal ring, you vanish and reappear in an unoccupied space within 5 feet of the space you left (or the nearest unoccupied space). You have a number of hit points equal to 3d6 + your Constitution modifier. If your hit point maximum is lower than the number of hit points you regain, your hit point maximum rises to a similar amount. If you have any levels of exhaustion, reduce your level of exhaustion by 1. Once the ring is used, it turns to dust and is destroyed.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-temporal-salvation,
Ring of the Ram,rare,requires attunement,Ring,Dungeon Master's Guide,"The ring has 3 charges, and to regains 1d3 expended charges daily at dawn. While wearing the ring, you can use an action to expend 1 to 3 of its charges to make a ranged spell attack against one creature you can see within 60 feet of you. The ring produces a spectral ram's head and makes its attack roll with a +7 bonus. On a hit, for each charge you spend, the target takes 2d10 force damage and is pushed 5 feet away from you.
Alternatively, you can expend 1 to 3 of the ring's charges as an action to try to break an object you can see within 60 feet of you that isn't being worn or carried. The ring makes a Strength check with a +5 bonus for each charge you spend.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-the-ram,
Ring of X-Ray Vision,rare,requires attunement,Ring,Dungeon Master's Guide,"While wearing this ring, you can use an action to speak its command word. When you do so, you can see into and through solid matter for 1 minute. This vision has a radius of 30 feet. To you, solid objects within that radius appear transparent and don't prevent light from passing through them. The vision can penetrate 1 foot of stone, 1 inch of common metal, or up to 3 feet of wood or dirt. Thicker substances block the vision, as does a thin sheet of lead.
Whenever you use the ring again before taking a long rest, you must succeed on a DC 15 Constitution saving throw or gain one level of exhaustion.
",http://dnd5e.wikidot.com/wondrous-items:ring-of-x-ray-vision,
Robe of Eyes,rare,requires attunement,Wondrous item,Dungeon Master's Guide,"This robe is adorned with eyelike patterns. While you wear the robe, you gain the following benefits:
The eyes on the robe can't be closed or averted. Although you can close or avert your own eyes, you are never considered to be doing so while wearing this robe.
A Light spell cast on the robe or a Dayight spell cast within 5 feet of the robe causes you to be blinded for 1 minute. At the end of each of your turns, you can make a Constitution saving throw (DC 11 for Light or DC 15 for Dayight), ending the blindness on a success.
",http://dnd5e.wikidot.com/wondrous-items:robe-of-eyes,
Robe of Summer,rare,requires attunement,Wondrous item,Tales from the Yawning Portal,"This elegant garment is made from fine cloth in hues of red, orange, and gold. While you wear the robe, you have resistance to cold damage. In addition, you are comfortable as if the temperature were that of a balmy day, so you suffer no ill effects from the weather's temperature extremes.
",http://dnd5e.wikidot.com/wondrous-items:robe-of-summer,
Rod of Rulership,rare,requires attunement,Rod,Dungeon Master's Guide,"You can use an action to present the rod and command obedience from each creature of your choice that you can see within 120 feet of you. Each target must succeed on a DC 15 Wisdom saving throw or be charmed by you for 8 hours. While charmed in this way, the creature regards you as its trusted leader. If harmed by you or your companions, or commanded to do something contrary to its nature, a target ceases to be charmed in this way. The rod can't be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:rod-of-rulership,
Rod of the Vonindod,rare,requires attunement,Rod,torm King's Thunder,"The fire giant duke Zalto hired a wizard to craft several of these adamantine rods. Each measures 4 feet long, weighs 100 pounds, and is sized to fit comfortably in a fire giant's hand. The rod has two prongs at one end and a molded handle grip on the opposite end.
The rod has 10 charges and regains 1d6 + 4 of its expended charges daily at dawn. As an action, you can grasp it by the handle and expend 1 charge to cast the Locate Object spell from it. When the rod is used to detect objects made of adamantine, such as fragments of the Vonindod construct, its range increases to 10 miles.
",http://dnd5e.wikidot.com/wondrous-items:rod-of-the-vonindod,
Rope of Entanglement,rare,No Attunement,Wondrous item,Dungeon Master's Guide,"This rope is 30 feet long and weighs 3 pounds. If you hold one end of the rope and use an action to speak its command word, the other end darts forward to entangle a creature you can see within 20 feet of you. The target must succeed on a DC 15 Dexterity saving throw or become restrained.
You can release the creature by using a bonus action to speak a second command word. A target restrained by the rope can use an action to make a DC 15 Strength or Dexterity check (target's choice). On a success, the creature is no longer restrained by the rope.
The rope has AC 20 and 20 hit points. It regains 1 hit point every 5 minutes as long as it has at least 1 hit point. If the rope drops to 0 hit points, it is destroyed.
",http://dnd5e.wikidot.com/wondrous-items:rope-of-entanglement,
Saint Markovia's Thighbone,rare,requires attunement,Weapon (mace),Curse of Strahd,"Saint Markovia's thighbone has the properties of a Mace of Disruption. If it scores one or more hits against a vampire or a vampire spawn in the course of a single battle, the thighbone crumbles into dust once the battle concludes.
As a youth, Markovia followed her heart and became a priest of the Morninglord soon after her eighteenth birthday. She proved to be a charismatic proselytizer and, before the age of thirty, had gained a reputation for allowing no evil to stand before her.
Markovia had long considered Strahd a mad tyrant, but only after his transformation into a vampire did she dare to challenge him. As she rallied her followers and prepared to march on Castle Ravenloft, Strahd sent a group of vampire spawn to her abbey. They confronted Markovia and were destroyed to a one.
Suffused with confidence born of righteous victory, Markovia advanced on Castle Ravenloft. A great battle raged from the catacombs to the parapets. In the end, Markovia never returned to Barovia, and Strahd long afterward walked with a limp and a grimace of pain. It is said that he trapped Markovia in a crypt beneath his castle, and her remains linger there yet.
The essence of Markovia's saintliness passed partly into her bones as the rest of her body decomposed. Her remaining thighbone is imbued with power that inflicts grievous injury on the undead.
",http://dnd5e.wikidot.com/wondrous-items:saint-markovias-thighbone,
Scissors of Shadow Snipping,Rare,Requires Attunement by a Fey or a Spellcaster,Wondrous Item,The Wild Beyond The Witchlight,"As an action, you make a few snips with these iron shears and cause the shadow of a Humanoid creature you can see within 5 feet of you to detach from its source. If the creature is unwilling to give up its shadow, it can make a DC 15 Charisma saving throw, retaining its shadow on a success. Whether or not the shadow is snipped, this property of the scissors can't be used again until the next dawn.
The detached shadow is rooted to the spot where it was snipped until you use a bonus action to cause it to behave in one of the following ways, either of which is possible only if you can see the shadow:
A creature whose shadow has detached from it is cursed. If a shadowless creature is subjected to any spell that ends a curse, or if its detached shadow is reduced to 0 hit points, the detached shadow disappears, and the creature regains its normal shadow instantly.
",http://dnd5e.wikidot.com/wondrous-items:scissors-of-shadow-snipping,
Scorpion Armor,rare,requires attunement,Armor (plate),Tomb of Annihilation,"This suit of plate armor is fashioned from giant scorpion chitin. While wearing this armor, you gain the following benefits:
Curse. This armor is cursed. Whenever you don or doff it, you must make a DC 15 Constitution saving throw, taking 100 (10d10 + 45) poison damage on a failed save, or half as much damage on a successful one. Only a Wish spell can remove the armor's curse.
",http://dnd5e.wikidot.com/wondrous-items:scorpion-armor,
Scroll of Protection,rare,No Attunement,Scroll,Dungeon Master's Guide,"Each scroll of protection works against a specific type of creature chosen by the DM or determined randomly by rolling on the following table.
Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot-radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents creatures of the specified type from entering or affecting anything within the cylinder.
The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends.
A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier.
",http://dnd5e.wikidot.com/wondrous-items:scroll-of-protection,"Needs manual intervention, has a table. "
Serpent's Fang,rare,No Attunement,Weapon (longsword),Candlekeep Mysteries,"This single-edged magic sword is made from the scrimshawed fang of a giant serpent. Its hilt changes shape to adjust to the grasp of any creature that picks it up. The weapon deals an extra 1d10 poison damage to any target it hits.
",http://dnd5e.wikidot.com/wondrous-items:serpent-s-fang,
Shadowfell Brand Tattoo,rare,requires attunement,Wondrous item (tattoo),Tasha's Cauldron of Everything,"Produced by a special needle, this magic tattoo is dark in color and abstract.
Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.
If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.
Shadow Essence. You gain darkvision with a range of 60 feet, and you have advantage on Dexterity (Stealth) checks.
Shadowy Defense. When you take damage, you can use your reaction to become insubstantial for a moment, halving the damage you take. Then the reaction can't be used again until the next sunset.
",http://dnd5e.wikidot.com/wondrous-items:shadowfell-brand-tattoo,
Shadowfell Shard,rare,requires attunement by a sorcerer,Wondrous item,Tasha's Cauldron of Everything,"This dull, cold crystal sits heavy and leaden, saturated by the Shadowfell's despair. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.
When you use a Metamagic option on a spell while you are holding or wearing the shard, you can momentarily curse one creature targeted by the spell; choose one ability score, and until the end of your next turn, the creature has disadvantage on ability checks and saving throws that use that ability.
",http://dnd5e.wikidot.com/wondrous-items:shadowfell-shard,
Shard of Xeluan,Rare,Requires Attunement,Wondrous Item,Keys from the Golden Vault,"This 1-foot-long shard of obsidian has veins of silver and gold beneath its cold surface.
Empowered Magic. While holding the shard, you can use it as a spellcasting focus, and it gives you a +1 bonus to your spell attack rolls.
Enhanced Strength. Your Strength score increases by 4 while the shard is on your person. The shard can't raise your Strength score above 22.
Curse. Attuning to this item extends its curse to you. You remain cursed until you are targeted by a Remove Curse spell or similar magic, or until the shard is reattached to Xeluan's petrified heart.
The shard's curse causes misfortune to befall you. When you roll a 1 on an attack roll, an ability check, or a saving throw, roll on the Shard Misfortunes table to determine the misfortune. For as long as this misfortune lasts, no other shard misfortunes befall you.
",http://dnd5e.wikidot.com/wondrous-items:shard-of-xeluan,"Needs manual intervention, has a table. "
Shield of Far Sight,rare,No Attunement,Armor (shield),Volo's Guide to Monsters,"A mind flayer skilled at crafting magic items creates a shield of far sight by harvesting an eye from an intelligent humanoid and magically implanting it on the outer surface of a nonmagical shield. The shield becomes a magic item once the eye is implanted, whereupon the mind flayer can give the shield to a thrall or hang it on a wall in its lair. As long as the shield is on the same plane of existence as its creator, the mind flayer can see through the shield's eye, which has darkvision out to a range of 60 feet. While peering through this magical eye, the mind flayer can use its Mind Blast action as though it were standing behind the shield.
If a shield of far sight is destroyed, the mind flayer that created it is blinded for 2d12 hours.
",http://dnd5e.wikidot.com/wondrous-items:shield-of-far-sight,
Shield of Missile Attraction,rare,requires attunement,Armor (shield),Dungeon Master's Guide,"While holding this shield, you have resistance to damage from ranged weapon attacks.
Curse. This shield is cursed. Attuning to it curses you until you are targeted by the Remove Curse spell or similar magic. Removing the shield fails to end the curse on you. Whenever a ranged weapon attack is made against a target within 10 feet of you, the curse causes you to become the target instead.
",http://dnd5e.wikidot.com/wondrous-items:shield-of-missile-attraction,
Siren Song Lyre,rare,requires attunement,Wondrous item,Mythic Odysseys of Theros,"You can use an action to play this lyre and cast one of the following spells from it: Animal Friendship, Charm Person, Enthrall, Suggestion. If the spell requires a saving throw, the spell save DC is 13.
Once the instrument has been used to cast a spell, it can't be used to cast that spell again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:siren-song-lyre,
Spelljamming Helm,Rare,Requires Attunement by a Spellcaster,Wondrous item,lljammer: Adventures in Space - Astral Adventurer's Guide,"The function of this ornate chair is to propel and maneuver a ship on which it has been installed through space and air. It can also propel and maneuver a ship on water or underwater, provided the ship is built for such travel. The ship in question must weigh 1 ton or more.
The sensation of being attuned to a spelljamming helm is akin to the pins-and-needles effect one experiences after one's arm or leg falls asleep, but not painful.
While attuned to a spelljamming helm and sitting in it, you gain the following abilities for as long as you maintain concentration (as if concentrating on a spell):
Transfer Attunement. You can use an action to touch a willing spellcaster. That creature attunes to the spelljamming helm immediately, and your attunement to it ends.
",http://dnd5e.wikidot.com/wondrous-items:spelljamming-helm,
Staff of Charming,rare,"requires attunement by a bard, cleric, druid, sorcerer, warlock, or wizard",Staff,Dungeon Master's Guide,"While holding this staff, you can use an action to expend 1 of its 10 charges to cast Charm Person, Command, or Comprehend Languages from it using your spell save DC. The staff can also be used as a magic quarterstaff.
If you are holding the staff and fail a saving throw against an enchantment spell that targets only you , you can turn your failed save into a successful one. You can't use this property of the staff again until the next dawn. If you succeed on a save against an enchantment that targets only you, with or without the staff's intervention, you can use your reaction to expend 1 charge from the staff and turn the spell back on its caster as if you had cast the spell.
The staff regains 1d8 + 2 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff becomes a nonmagical quarterstaff.
",http://dnd5e.wikidot.com/wondrous-items:staff-of-charming,
Staff of Defense,Rare,requires attunement,Staff,Lost Mine of Phandelver,"This slender, hollow staff is made of glass yet is as strong as oak. It weighs 3 pounds. You must be attuned to the staff to gain its benefits and cast its spells.
While holding the staff, you have a +1 bonus to your Armor Class.
The staff has 10 charges, which are used to fuel the spells within it. With the staff in hand, you can use your action to cast one of the following spells from the staff if the spell is on your class's spell list: mage armor (1 charge) or shield (2 charges). No components are required.
The staff regains 1d6 + 4 expended charges each day at dawn. If you expend the staff's last charge, roll a d20. On a 1, the staff shatters and is destroyed.
",http://dnd5e.wikidot.com/wondrous-items:staff-of-defense,
Staff of Healing,rare,"requires attunement by a bard, cleric, or druid",Staff,Dungeon Master's Guide,"The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spellcasting ability modifier: Cure Wounds (1 charge per spell level, up to 4th), Lesser Restoration (2 charges), or Mass Cure Wounds (5 charges).
The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff vanishes in a flash of light, lost forever.
",http://dnd5e.wikidot.com/wondrous-items:staff-of-healing,
Staff of Swarming Insects,rare,"requires attunement by a bard, cleric, druid, sorcerer, warlock, or wizard",Staff,Dungeon Master's Guide,"This staff has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, a swarm of insects consumes and destroys the staff, then disperses.
Spells. While holding the staff, you can use an action to expend some of its charges to cast one of the following spells from it, using your spell save DC: Giant Insect (4 charges) or Insect Plague (5 charges).
Insect Cloud. While holding the staff, you can use an action and expend 1 charge to cause a swarm of harmless flying insects to spread out in a 30-foot radius from you. The insects remain for 10 minutes, making the area heavily obscured for creatures other than you. The swarm moves with you, remaining centered on you. A wind of at least 10 miles per hour disperses the swarm and ends the effect.
",http://dnd5e.wikidot.com/wondrous-items:staff-of-swarming-insects,
Staff of the Ivory Claw,rare,requires attunement by a spellcaster,Staff,Explorer's Guide to Wildemount,"This gray-and-cerulean staff is topped with a small dragon claw carved from ivory. While holding the staff, you gain a +1 bonus to spell attack rolls. Whenever you score a critical hit with a spell attack, the target takes an extra 3d6 radiant damage.
",http://dnd5e.wikidot.com/wondrous-items:staff-of-the-ivory-claw,
Staff of the Woodlands,rare,requires attunement by a druid,Staff,Dungeon Master's Guide,"This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding it, you have a +2 bonus to spell attack rolls.
The staff has 10 charges for the following properties. It regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff loses its properties and becomes a nonmagical quarterstaff.
Spells. You can use an action to expend 1 or more of the staff's charges to cast one of the following spells from it, using your spell save DC: Animal Friendship (1 charge), Awaken (5 charges), Barkskin (2 charges), Locate Animals or Plants (2 charges), Speak with Animals (1 charge), Speak with Plants (3 charges), or Wall of Thorns (6 charges).
You can also use an action to cast the Pass Without Trace spell from the staff without using any charges.
Tree Form. You can use an action to plant one end of the staff in fertile earth and expend 1 charge to transform the staff into a healthy tree. The tree is 60 feet tall and has a 5-foot-diameter trunk, and its branches at the top spread out in a 20-foot radius. The tree appears ordinary but radiates a faint aura of transmutation magic if targeted by detect magic. While touching the tree and using another action to speak its command, word, you return the staff to its normal form. Any creature in the tree falls when it reverts to a staff.
",http://dnd5e.wikidot.com/wondrous-items:staff-of-the-woodlands,
Staff of Withering,rare,"requires attunement by a cleric, druid, or warlock",Staff,Dungeon Master's Guide,"The staff has 3 charges and regains 1d3 expended charges daily at dawn.
The staff can be wielded as a magic quarterstaff. On a hit, it deals damage as a normal quarterstaff, and you can expend 1 charge to deal an extra 2d10 necrotic damage to the target. In addition, the target must succeed on a DC 15 Constitution saving throw or have disadvantage for 1 hour on any ability check or saving throw that uses Strength or Constitution.
",http://dnd5e.wikidot.com/wondrous-items:staff-of-withering,
Stone of Controlling Earth Elementals,rare,No Attunement,Wondrous item,Dungeon Master's Guide,"If the stone is touching the ground, you can use an action to speak its command word and summon an earth elemental, as if you had cast the Conjure Elemental spell. The stone can't be used this way again until the next dawn. This stone weighs 5 pounds.
",http://dnd5e.wikidot.com/wondrous-items:stone-of-controlling-earth-elementals,
Stonespeaker Crystal,rare,requires attunement,Wondrous item,Out of the Abyss,"Created by the stone giant librarians of Gravenhollow. this nineteen-inch-long shard of quartz grants you advantage on Intelligence (investigation) checks while it is on your person.
The crystal has 10 charges. While holding it, you can use an action to expend some of its charges to east one of the following spells from it: speak with animals (2 charges), speak with dead (4 charges), or speak with plants (3 charges).
When you cast a divination spell, you can use the crystal in place of one material component that would normally be consumed by the spell, at a cost of 1 charge per level of the spell. The crystal is not consumed when used in this way.
The crystal regains 1d6 + 4 expended charges daily at dawn. If you expend the crystal's last charge, roll a d20. On a 1, the crystal vanishes, lost forever.
",http://dnd5e.wikidot.com/wondrous-items:stonespeaker-crystal,
Sun Blade,rare,requires attunement,Weapon (longsword),Dungeon Master's Guide,"This item appears to be a longsword hilt. While grasping the hilt, you can use a bonus action to cause a blade of pure radiance to spring into existence, or make the blade disappear. While the blade exists, this magic longsword has the finesse property. If you are proficient with shortswords or longswords, you are proficient with the sun blade.
You gain a +2 bonus to attack and damage rolls made with this weapon, which deals radiant damage instead of slashing damage. When you hit an undead with it, that target takes an extra 1d8 radiant damage.
The sword's luminous blade emits bright light in a 15-foot radius and dim light for an additional 15 feet. The light is sunlight. While the blade persists, you can use an action to expand or reduce its radius of bright and dim light by 5 feet each, to a maximum of 30 feet each or a minimum of 10 feet each.
",http://dnd5e.wikidot.com/wondrous-items:sun-blade,
Sunforger,rare,requires attunement,Weapon (warhammer),Guildmaster's Guide to Ravnica,"You gain a +2 bonus to attack and damage rolls made with this magic weapon.
As an action, you can hurl the weapon up to 120 feet to a point you can see. When it reaches that point, the weapon vanishes in an explosion, and each creature in a 20-foot-radius sphere centered on that point must make a DC 15 Dexterity saving throw, taking 6d6 fire damage on a failed save, or half as much damage on a successful one. Afterward, you can use an action to cause the weapon to reappear in your empty hand. You can't cause it to explode again until you finish a short or long rest.
If you don't call the weapon back to your hand, it reappears at the point where it exploded when you are no longer attuned to it or when 24 hours have passed.
",http://dnd5e.wikidot.com/wondrous-items:sunforger,
Sword of Life Stealing,rare,requires attunement,Weapon (any sword),Dungeon Master's Guide,"When you attack a creature with this magic weapon and roll a 20 on the attack roll, that target takes an extra 10 necrotic damage if it isn't a construct or an undead. You also gain 10 temporary hit points.
",http://dnd5e.wikidot.com/wondrous-items:sword-of-life-stealing,
Sword of Wounding,rare,requires attunement,Weapon (any sword),Dungeon Master's Guide,"Hit points lost to this weapon's damage can be regained only through a short or long rest, rather than by regeneration, magic, or any other means.
Once per turn, when you hit a creature with an attack using this magic weapon, you can wound the target. At the start of each of the wounded creature's turns, it takes 1d4 necrotic damage for each time you've wounded it, and it can then make a DC 15 Constitution saving throw, ending the effect of all such wounds on itself on a success. Alternatively, the wounded creature, or a creature within 5 feet of it, can use an action to make a DC 15 Wisdom (Medicine) check, ending the effect of such wounds on it on a success.
",http://dnd5e.wikidot.com/wondrous-items:sword-of-wounding,
Teleportation Tablet,rare,No Attunement,Wondrous item,Critical Role - Call of the Netherdee,"This clay tablet is eight inches long, four inches wide, and half an inch thick. Inscribed on it is the sigil sequence for a permanent teleportation circle. A creature that studies the sequence for 10 minutes can make a DC 21 Intelligence (Arcana) check, learning the circle’s destination on a success.
You can use an action to break the tablet in half, turning it to dust. If the tablet is broken while it is on the same plane of existence as the teleportation circle whose sigil sequence was engraved on it, a 10-foot-diameter teleportation circle of glowing blue light appears on the ground in an unoccupied space you choose within 30 feet of you. This teleportation circle has the characteristics of one created using the Teleportation Circle spell, except that it connects to the teleportation circle whose sigil sequence appears on the tablet.
The teleportation circle created by the tablet disappears at the end of your next turn.
",http://dnd5e.wikidot.com/wondrous-items:teleportation-tablet,
Tentacle Rod,rare,requires attunement,Rod,Dungeon Master's Guide,"Made by the drow, this rod is a magic weapon that ends in three rubbery tentacles. While holding the rod, you can use an action to direct each tentacle to attack a creature you can see within 15 feet of you. Each tentacle makes a melee attack roll with a +9 bonus. On a hit, the tentacle deals 1d6 bludgeoning damage. If you hit a target with all three tentacles, it must make a DC 15 Constitution saving throw. On a failure, the creature's speed is halved, it has disadvantage on Dexterity saving throws, and it can't use reactions for 1 minute. Moreover, on each of its turns, it can take either an action or a bonus action, but not both. At the end of each of its turns, it can repeat the saving throw, ending the effect on itself on a success.
",http://dnd5e.wikidot.com/wondrous-items:tentacle-rod,
